epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,42607.3,3.77938,2.31273,0.84291,0.02458,0.00986,0.01479,0.00422,4.23255,2.59967,0.83092,0.0004028,0.0004028,0.0004028
123,42837.8,3.77278,2.29629,0.83137,0.0251,0.01015,0.01758,0.00523,4.25366,2.53526,0.83463,0.0003896,0.0003896,0.0003896
124,43496.6,3.7735,2.31981,0.83729,0.02349,0.0094,0.01299,0.00344,4.26176,2.65028,0.83356,0.0003764,0.0003764,0.0003764
125,44021.7,3.80663,2.31482,0.84451,0.02739,0.01079,0.01543,0.0041,4.23714,2.54734,0.83542,0.0003632,0.0003632,0.0003632
126,44316,3.81253,2.31889,0.84301,0.02394,0.00982,0.01384,0.00372,4.23727,2.6274,0.83295,0.00035,0.00035,0.00035
127,44851.4,3.76743,2.32445,0.82855,0.02823,0.0114,0.01755,0.00543,4.21425,2.46081,0.82614,0.0003368,0.0003368,0.0003368
128,45021.5,3.76763,2.29163,0.82557,0.02441,0.00979,0.0147,0.00429,4.25536,2.67136,0.82867,0.0003236,0.0003236,0.0003236
129,45200.1,3.73114,2.28647,0.82957,0.0238,0.00957,0.01439,0.00404,4.25154,2.59907,0.82909,0.0003104,0.0003104,0.0003104
130,45399.7,3.77997,2.2814,0.83541,0.02699,0.01082,0.01691,0.00464,4.24059,2.56108,0.83357,0.0002972,0.0002972,0.0002972
131,45616,3.78167,2.28112,0.83883,0.02351,0.00952,0.01509,0.00479,4.2453,2.65542,0.83108,0.000284,0.000284,0.000284
132,45831.8,3.77059,2.29314,0.82991,0.02331,0.0094,0.01365,0.00374,4.25836,2.64903,0.8359,0.0002708,0.0002708,0.0002708
133,46025.4,3.82403,2.31588,0.8442,0.02585,0.01039,0.01548,0.00413,4.231,2.59156,0.83134,0.0002576,0.0002576,0.0002576
134,46472.5,3.7537,2.27603,0.8303,0.02495,0.00998,0.01498,0.00427,4.25013,2.59378,0.82785,0.0002444,0.0002444,0.0002444
135,46666.7,3.81804,2.34688,0.82526,0.02926,0.01156,0.01724,0.00489,4.2576,2.47504,0.81755,0.0002312,0.0002312,0.0002312
136,47315.9,3.78986,2.32188,0.81865,0.02494,0.00995,0.01497,0.0042,4.25856,2.58128,0.81967,0.000218,0.000218,0.000218
137,47508.9,3.80102,2.29171,0.82609,0.02553,0.01027,0.01531,0.00436,4.26176,2.55277,0.81958,0.0002048,0.0002048,0.0002048
138,47690.8,3.80271,2.28727,0.817,0.02382,0.00961,0.0144,0.004,4.26719,2.63995,0.82249,0.0001916,0.0001916,0.0001916
139,47880,3.71903,2.24565,0.80332,0.02421,0.00974,0.0146,0.00409,4.26578,2.63158,0.82099,0.0001784,0.0001784,0.0001784
140,48071.5,3.80579,2.30292,0.81963,0.02315,0.00936,0.01407,0.00387,4.26192,2.65501,0.81817,0.0001652,0.0001652,0.0001652
141,49300.1,3.28639,2.06475,0.72222,0.02414,0.00984,0.01359,0.0036,4.25283,2.59468,0.81787,0.000152,0.000152,0.000152
142,49468.8,3.34102,2.0653,0.72857,0.02246,0.00911,0.01322,0.00354,4.28739,2.65273,0.82517,0.0001388,0.0001388,0.0001388
143,49622.4,3.32033,2.04399,0.71782,0.02318,0.0095,0.01325,0.0036,4.26287,2.62597,0.81764,0.0001256,0.0001256,0.0001256
144,50049.8,3.29281,2.04842,0.71779,0.0212,0.00868,0.01201,0.00325,4.26705,2.68997,0.82005,0.0001124,0.0001124,0.0001124
145,50211.5,3.31042,2.03585,0.72191,0.02141,0.00866,0.01269,0.00346,4.27394,2.70199,0.81943,9.92e-05,9.92e-05,9.92e-05
146,50380.9,3.31425,2.0329,0.72579,0.02312,0.00949,0.01322,0.00352,4.26946,2.59796,0.82185,8.6e-05,8.6e-05,8.6e-05
147,50590.2,3.34995,2.0536,0.73058,0.02245,0.00915,0.01288,0.00348,4.26374,2.63117,0.81996,7.28e-05,7.28e-05,7.28e-05
148,50753.9,3.26113,2.0322,0.71433,0.0211,0.0086,0.0122,0.0033,4.27585,2.68137,0.82061,5.96e-05,5.96e-05,5.96e-05
149,50936.3,3.23156,1.98298,0.70952,0.02182,0.00887,0.01257,0.00344,4.26952,2.64289,0.82133,4.64e-05,4.64e-05,4.64e-05
150,51103.4,3.27186,2.01207,0.7135,0.02373,0.00965,0.01436,0.00397,4.26531,2.57887,0.82053,3.32e-05,3.32e-05,3.32e-05
