epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,21996.7,3.91024,2.38588,0.83156,0.01967,0.00801,0.01231,0.00321,4.32434,2.70048,0.83411,0.00068,0.00068,0.00068
102,22135.5,3.86879,2.35266,0.82059,0.02531,0.01022,0.0152,0.00435,4.32152,2.42369,0.82387,0.0006668,0.0006668,0.0006668
103,22275,3.85702,2.36405,0.81951,0.02321,0.00939,0.0136,0.00373,4.33307,2.44841,0.83471,0.0006536,0.0006536,0.0006536
104,23418.4,3.86228,2.35008,0.81787,0.01891,0.00774,0.01143,0.00289,4.3364,2.73609,0.8288,0.0006404,0.0006404,0.0006404
105,23553.1,3.89226,2.36018,0.82639,0.02811,0.01163,0.01586,0.00416,4.30356,2.39062,0.82608,0.0006272,0.0006272,0.0006272
106,23688.4,3.87559,2.39608,0.82232,0.02205,0.00908,0.01301,0.00364,4.33143,2.44588,0.83143,0.000614,0.000614,0.000614
107,23841.9,3.87673,2.34496,0.81925,0.01975,0.00813,0.01136,0.0031,4.32855,2.64747,0.82128,0.0006008,0.0006008,0.0006008
108,23996.1,3.8739,2.33788,0.8261,0.02545,0.01041,0.01417,0.00382,4.30542,2.45556,0.82942,0.0005876,0.0005876,0.0005876
109,24130.3,3.89079,2.36318,0.824,0.02221,0.00908,0.01276,0.00353,4.32467,2.50655,0.82496,0.0005744,0.0005744,0.0005744
110,24266.1,3.87177,2.33464,0.82916,0.02081,0.00858,0.01193,0.00309,4.30904,2.59691,0.828,0.0005612,0.0005612,0.0005612
111,24416.1,3.88818,2.35845,0.8307,0.02357,0.0096,0.01345,0.00365,4.32492,2.46291,0.83229,0.000548,0.000548,0.000548
112,25021.1,3.85795,2.35201,0.81812,0.02096,0.00862,0.01147,0.00286,4.32781,2.61133,0.83436,0.0005348,0.0005348,0.0005348
113,25161.1,3.84676,2.35162,0.82061,0.02186,0.00909,0.01239,0.00333,4.30814,2.70942,0.82155,0.0005216,0.0005216,0.0005216
114,25306.9,3.94215,2.37243,0.83552,0.02232,0.0092,0.01365,0.00376,4.3184,2.56663,0.82821,0.0005084,0.0005084,0.0005084
115,25470,3.87122,2.33182,0.82752,0.02178,0.00891,0.01288,0.00316,4.31033,2.6361,0.82824,0.0004952,0.0004952,0.0004952
116,25637.5,3.90062,2.3547,0.82938,0.0206,0.0086,0.01195,0.00316,4.33184,2.55647,0.82846,0.000482,0.000482,0.000482
117,25808.3,3.85196,2.37079,0.81846,0.02176,0.00897,0.0122,0.00315,4.30753,2.53788,0.82603,0.0004688,0.0004688,0.0004688
118,25936.1,3.85856,2.34003,0.82138,0.02335,0.00947,0.01292,0.00334,4.30116,2.51475,0.82789,0.0004556,0.0004556,0.0004556
119,26073.5,3.85483,2.32869,0.82363,0.0219,0.00875,0.01218,0.00309,4.32274,2.57877,0.82825,0.0004424,0.0004424,0.0004424
120,27253.8,3.86606,2.33318,0.82945,0.02018,0.00838,0.01133,0.00293,4.32147,2.60436,0.83255,0.0004292,0.0004292,0.0004292
121,27399.9,3.79816,2.28283,0.81201,0.02593,0.0106,0.01434,0.00363,4.29378,2.42322,0.82623,0.000416,0.000416,0.000416
122,27923.7,3.86684,2.31928,0.83013,0.02391,0.00955,0.01334,0.00338,4.31395,2.49802,0.82547,0.0004028,0.0004028,0.0004028
123,28067.8,3.83802,2.29976,0.81843,0.02336,0.00952,0.01292,0.00333,4.29847,2.50674,0.82817,0.0003896,0.0003896,0.0003896
124,28214.2,3.85395,2.31566,0.82393,0.02256,0.00915,0.01238,0.00307,4.32368,2.59338,0.82906,0.0003764,0.0003764,0.0003764
125,28566.5,3.87384,2.31868,0.82997,0.02311,0.00926,0.01291,0.0034,4.30498,2.50062,0.82325,0.0003632,0.0003632,0.0003632
126,28711.2,3.89782,2.31887,0.83042,0.02361,0.0097,0.01323,0.00333,4.29875,2.54521,0.82501,0.00035,0.00035,0.00035
127,29093.7,3.84769,2.31045,0.81569,0.0249,0.01016,0.01415,0.00399,4.29499,2.48788,0.82454,0.0003368,0.0003368,0.0003368
128,29226.1,3.84218,2.30678,0.81552,0.02301,0.00932,0.014,0.00448,4.30084,2.52,0.82405,0.0003236,0.0003236,0.0003236
129,29392,3.79829,2.26171,0.81571,0.024,0.00969,0.014,0.00416,4.29537,2.46856,0.82453,0.0003104,0.0003104,0.0003104
130,29541,3.85736,2.29644,0.82356,0.0258,0.01037,0.01462,0.00405,4.29821,2.48569,0.82729,0.0002972,0.0002972,0.0002972
131,29688.1,3.8606,2.29987,0.82594,0.02378,0.00964,0.01301,0.00337,4.30363,2.53641,0.82453,0.000284,0.000284,0.000284
132,30498,3.85112,2.28707,0.81831,0.02162,0.00878,0.01225,0.00313,4.31527,2.55447,0.82727,0.0002708,0.0002708,0.0002708
133,30642.5,3.89455,2.31121,0.83058,0.02125,0.00864,0.01209,0.00326,4.30558,2.58493,0.82788,0.0002576,0.0002576,0.0002576
134,31516.3,3.81922,2.27207,0.81936,0.02512,0.01014,0.01359,0.00356,4.3024,2.46364,0.82686,0.0002444,0.0002444,0.0002444
135,31649.5,3.86796,2.33472,0.82287,0.0252,0.01014,0.01367,0.00349,4.30645,2.45616,0.82384,0.0002312,0.0002312,0.0002312
136,31806,3.83834,2.31113,0.81805,0.02174,0.00876,0.01194,0.00311,4.31445,2.56303,0.82958,0.000218,0.000218,0.000218
137,31941.3,3.85588,2.2907,0.82781,0.02177,0.00893,0.01205,0.00315,4.3142,2.5517,0.82876,0.0002048,0.0002048,0.0002048
138,32069.2,3.8388,2.27976,0.81741,0.02275,0.00919,0.01273,0.00348,4.31982,2.55635,0.82921,0.0001916,0.0001916,0.0001916
139,32202.2,3.76112,2.24952,0.80545,0.02301,0.00938,0.0127,0.00338,4.30731,2.52096,0.82761,0.0001784,0.0001784,0.0001784
140,32340.9,3.84391,2.30359,0.82278,0.02311,0.00944,0.01298,0.0035,4.30125,2.51152,0.82744,0.0001652,0.0001652,0.0001652
141,32887.1,3.31816,2.04688,0.72645,0.02254,0.00918,0.01293,0.00329,4.31161,2.52338,0.82873,0.000152,0.000152,0.000152
142,33013.9,3.37621,2.05851,0.73009,0.02168,0.00884,0.01208,0.00306,4.3286,2.52761,0.83672,0.0001388,0.0001388,0.0001388
143,33132.4,3.34044,2.03501,0.72007,0.02326,0.00955,0.01262,0.00353,4.30984,2.50922,0.82784,0.0001256,0.0001256,0.0001256
144,33259.9,3.33941,2.04125,0.72196,0.02163,0.00885,0.01247,0.00344,4.31746,2.55814,0.82717,0.0001124,0.0001124,0.0001124
145,33373.4,3.34365,2.02656,0.72499,0.02105,0.00859,0.01134,0.00279,4.32165,2.57917,0.83078,9.92e-05,9.92e-05,9.92e-05
146,33494,3.33921,2.0257,0.72651,0.02161,0.00886,0.01167,0.00286,4.32495,2.55157,0.83115,8.6e-05,8.6e-05,8.6e-05
147,33629.6,3.37275,2.05166,0.73146,0.02215,0.00901,0.01206,0.00335,4.31989,2.55378,0.8278,7.28e-05,7.28e-05,7.28e-05
148,33748.6,3.30163,2.0126,0.71697,0.02219,0.00904,0.01199,0.00305,4.32172,2.53862,0.8292,5.96e-05,5.96e-05,5.96e-05
149,33893.3,3.28373,1.9876,0.71342,0.02134,0.00871,0.01166,0.00306,4.32921,2.56138,0.82919,4.64e-05,4.64e-05,4.64e-05
150,34012.9,3.32105,2.01996,0.71688,0.02382,0.00968,0.01291,0.00335,4.32298,2.49587,0.82974,3.32e-05,3.32e-05,3.32e-05
