,Hm0,Hmax,H13,Hmax_obs,n_waves,ratio_mike,ratio_yolo
2025-08-24 18:20:00,0.27796557545661926,0.570296049118042,0.22164985693592845,0.3565943386369612,2442,2.051678695036988,1.608818266641339
2025-08-24 18:40:00,0.2997838854789734,0.6150839328765869,0.21542008993689368,0.2868314943849152,966,2.0517578251207516,1.3314983503578572
2025-08-24 19:00:00,0.32499903440475464,0.6658097505569458,0.2060729425013936,0.3394093259500493,4465,2.048651473000208,1.647034888861035
2025-08-24 19:20:00,0.3493391275405884,0.714370846748352,0.19841139840173774,0.2857922661754851,3621,2.0449207959545044,1.4404024591209275
2025-08-24 19:40:00,0.3640352189540863,0.7444392442703247,0.1916858129147351,0.2868314943849152,3422,2.0449648976524344,1.4963626677604063
2025-08-24 20:00:00,0.34675171971321106,0.7099392414093018,0.20824871338631556,0.2868314943849152,3255,2.047399338052233,1.3773506194625231
2025-08-24 20:20:00,0.337036669254303,0.6901362538337708,0.20277555007216108,0.2938855639002729,2952,2.047659251323318,1.4493145933801623
2025-08-24 20:40:00,0.2460109442472458,0.5060583353042603,0.2437834832525376,0.3314233406213326,1064,2.057056188507052,1.3594987494620712
2025-08-24 23:00:00,0.3082824647426605,0.6330159902572632,0.10172386898081613,0.1095547639615222,7,2.053363595576786,1.0769818830050877
2025-08-24 23:20:00,0.2179168462753296,0.44964301586151123,0.1576458566026876,0.2147332029425608,8,2.0633696914528787,1.3621239883503538
2025-08-24 23:40:00,0.10346273332834244,0.2159266620874405,0.17135193646769376,0.2139566031821767,4,2.0869993971857483,1.2486383731211321
